R(Ohm) U(mV) errorU(mV) I(mA) errorI(mA)
1.257390261751109e-06 -1.2233564083085e-05 0.1 -9.729329433526775 0.1
2.2207702821288265e-06 -2.1306057095882193e-05 0.1 -9.593994150290161 0.1
5.341532680986074e-07 -5.269242897156187e-06 0.1 -9.864664716763388 0.1
5.137602551131388e-06 -4.789953102924132e-05 0.1 -9.323323583816936 0.1
2.350246273924842e-05 -0.000203217502876743 0.1 -8.646647167633873 0.1
# Naomi a fait de la merde !
#6 0.1 0.1 . 0.1
1.0000668672390383e-05 -9.053258343256953e-05 0.1 -9.052653017343712 0.1
#%The mean value of U is: -6.34097469024462e-05
#%The mean value of I is: -9.368435344895808
#%The deviation value of U is: 6.867127526328957e-05
