R[Ohm] U[mV] errorU I[mA] errorI
2.6451612903225805 3.1 0.2 3.1 0.05
63.44827586206897 2.32 0.5 2.32 0.01
110.83333333333333 2.04 0.2 2.04 0.02
159.45054945054943 1.82 0.1 1.82 0.01
206.66666666666669 1.65 1.0 1.65 0.02
252.22929936305732 1.57 0.0 1.57 0.01
300.0 1.44 1.0 1.44 0.0
341.9117647058823 1.36 2.0 1.36 0.01
393.7007874015748 1.27 2.0 1.27 0.01
441.52542372881356 1.18 1.0 1.18 0.01
489.18918918918916 1.11 1.0 1.11 0.01
537.5 1.04 0.0 1.04 0.01
578.7878787878788 0.99 1.0 0.99 0.01
643.4782608695651 0.92 1.0 0.92 0.01
679.7752808988764 0.89 1.0 0.89 0.01
745.7831325301205 0.83 1.0 0.83 0.01
779.0123456790122 0.81 1.0 0.81 0.01
817.7215189873417 0.79 1.0 0.79 0.01
853.2467532467532 0.77 1.0 0.77 0.01
925.0 0.72 1.0 0.72 0.01
975.3623188405797 0.69 0.0 0.69 0.01
1464.0 0.5 1.0 0.5 0.01
1981.081081081081 0.37 1.0 0.37 0.01
2526.666666666667 0.3 0.0 0.3 0.0
2888.8888888888887 0.27 1.0 0.27 0.02
3513.0434782608695 0.23 1.0 0.23 0.01
4110.0 0.2 0.0 0.2 0.01
4905.882352941176 0.17 1.0 0.17 0.01
5275.0 0.16 1.0 0.16 0.01
#nan 935 0.5 0 0
#The mean value of U is: 565.5758620689655
#The mean value of I is: 1.0175862068965515
#The mean value of R is: 1274.545876161044
#The deviation value of U is: 207.5714013508113
#The deviation value of I is: 0.6883095493103516
#The deviation value of U is: 0.6883095493103516
